18.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-01-04 00:00:00.000,18.16.SG-PVI SOUTH1,2016-03-14 00:00:00.000,2016-03-14
19.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-01-05 00:00:00.000,19.16.SG-GIC1,2016-11-25 00:00:00.000,2016-11-25
20.16.SG,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-01-06 00:00:00.000,20.16.SG-ABIC1,2016-10-17 00:00:00.000,2017-04-03
21.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-01-06 00:00:00.000,21.16.SG-BAOMINH1,NULL,NULL
22.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-01-07 00:00:00.000,22.16.SG-BAOMINH1,2017-11-23 00:00:00.000,2018-01-09
23.16.SG,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-01-12 00:00:00.000,23.16.SG-UIC1,2016-07-08 00:00:00.000,2016-07-25
24.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-01-14 00:00:00.000,24.16.SG-PVI SOUTH1,2016-08-18 00:00:00.000,2016-08-18
18.16.HN,PVI THANG LONG,PVI TL,2016-01-14 00:00:00.000,18.16.HN-PVI THANG LONG1,2016-04-28 00:00:00.000,2016-05-04
19.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-01-14 00:00:00.000,19.16.HN-ABIC1,2016-03-28 00:00:00.000,2016-03-28
25.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-01-18 00:00:00.000,25.16.SG-BAOLONG1,2017-04-05 00:00:00.000,2017-04-13
20.16.HN,PVI INSURANCE CORPORATION - DONG DO BRANCH,PVI DD,2016-01-27 00:00:00.000,20.16.HN-PVI DD1,2016-12-05 00:00:00.000,2016-12-07
26.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-01-29 00:00:00.000,26.16.SG-PVI SOUTH1,2016-11-25 00:00:00.000,2016-12-19
27.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-01-30 00:00:00.000,27.16.SG-BAOMINH1,2016-11-15 00:00:00.000,2016-11-15
21.16.HN,PVI INSURANCE CORPORATION - DONG DO BRANCH,PVI DD,2016-02-03 00:00:00.000,21.16.HN-PVI DD1,2016-12-31 00:00:00.000,2017-01-16
22.16.HN,POST TELECOMUNICATION INSURANCE,PTI,2016-02-12 00:00:00.000,22.16.HN-PTI1,2016-05-26 00:00:00.000,2016-06-10
28.16.SG,BAO MINH SAI GON,BMSG,2016-02-14 00:00:00.000,28.16.SG-BMSG1,2017-09-19 00:00:00.000,2017-09-28
29.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-02-19 00:00:00.000,29.16.SG-PVI SOUTH1,2016-04-13 00:00:00.000,2016-04-13
30.16.SG,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-02-19 00:00:00.000,30.16.SG-FUBON1,2016-05-26 00:00:00.000,2016-05-27
23.16.HN,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-02-23 00:00:00.000,23.16.HN-UIC1,2016-05-23 00:00:00.000,2016-05-23
32.16.SG,PETROLIMEX INSURANCE CORPORATION,PJICO,2016-02-23 00:00:00.000,32.16.SG-PJICO1,2016-10-13 00:00:00.000,2017-11-14
24.16.HN,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-02-23 00:00:00.000,24.16.HN-FUBON1,2016-09-19 00:00:00.000,2016-09-19
31.16.SG,PVI INSURANCE SOUTH COMPANY,PVIS,2016-02-26 00:00:00.000,31.16.SG-PVI SOUTH1,2016-12-25 00:00:00.000,2017-01-10
33.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-02 00:00:00.000,33.16.SG-BAOMINH1,2017-03-05 00:00:00.000,2019-05-14
33.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-02 00:00:00.000,33.16.SG.TS2,2019-05-14 00:00:00.000,2019-05-14
25.16.HN,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-03-07 00:00:00.000,25.16.HN.TS1,2016-05-06 00:00:00.000,2016-05-23
34.16.SG,BAO MINH CHO LON,BMCL,2016-03-08 00:00:00.000,34.16.SG.TS1,2018-12-20 00:00:00.000,NULL
27.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-03-15 00:00:00.000,27.16.HN.TS1,NULL,NULL
26.16.HN,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-03-15 00:00:00.000,26.16.HN.TS1,2016-06-30 00:00:00.000,2016-07-01
29.16.HN,BAO MINH CHO LON,BMCL,2016-03-19 00:00:00.000,29.16.HN.TS1,2016-12-10 00:00:00.000,2017-02-07
28.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-03-21 00:00:00.000,28.16.HN.TS1,2016-12-23 00:00:00.000,2017-08-25
30.16.HN,FUBON INSURANCE VIETNAM COMPANY LIMITED,FUBON,2016-03-25 00:00:00.000,30.16.HN.TS1,2016-07-09 00:00:00.000,2016-07-28
38.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-29 00:00:00.000,38.16.SG.TS1,2017-06-29 00:00:00.000,2017-08-29
35.16.SG,POST TELECOMUNICATION INSURANCE,PTI,2016-03-29 00:00:00.000,35.16.SG.TS1,2016-12-09 00:00:00.000,2016-12-26
32.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-03-29 00:00:00.000,32.16.HN.TS1,2016-07-27 00:00:00.000,2017-01-10
39.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-30 00:00:00.000,39.16.SG.TS1,2016-11-09 00:00:00.000,2017-01-24
40.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-31 00:00:00.000,40.16.SG.TS1,2016-09-14 00:00:00.000,2016-09-14
41.16.SG,QBE INSURANCE (VIETNAM) CO., LTD,QBE,2016-04-01 00:00:00.000,41.16.SG.TS1,2017-03-10 00:00:00.000,2017-07-24
42.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-04-03 00:00:00.000,42.16.SG.TS1,2016-09-22 00:00:00.000,2016-09-22
43.16.SG,BAO VIET INSURANCE CORPORATION - HO CHI MINH BRANCH,BVHCM,2016-04-04 00:00:00.000,43.16.SG.TS1,2016-09-21 00:00:00.000,2016-09-21
44.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-04-06 00:00:00.000,44.16.SG.TS1,2016-04-27 00:00:00.000,2016-05-06
45.16.SG,BAO MINH BEN THANH,BMBT,2016-04-08 00:00:00.000,45.16.SG.TS1,2016-11-09 00:00:00.000,NULL
